Model,Type,Bits,Depth,Accuracy,F1_Score,Precision,Recall,Inference_Time_s
Random Forest,Clear_Optimized,,4,0.8834498834498834,0.3055555555555556,0.21568627450980393,0.5238095238095238,0.004100799560546875
Random Forest,Clear_Optimized,,5,0.8951048951048951,0.3181818181818182,0.23333333333333334,0.5,0.0036468505859375
Random Forest,Clear_Optimized,,6,0.9009324009324009,0.2857142857142857,0.22077922077922077,0.40476190476190477,0.0040760040283203125
Random Forest,Clear_Optimized,,7,0.9114219114219114,0.3090909090909091,0.25,0.40476190476190477,0.004395723342895508
Random Forest,Clear_Optimized,,8,0.921911421911422,0.3619047619047619,0.30158730158730157,0.4523809523809524,0.004845142364501953
Random Forest,Clear_Optimized,,9,0.9242424242424242,0.3010752688172043,0.27450980392156865,0.3333333333333333,0.0053310394287109375
Random Forest,Clear_Optimized,,10,0.9324009324009324,0.32558139534883723,0.3181818181818182,0.3333333333333333,0.005660057067871094
XGBoost,Clear_Optimized,,4,0.9335664335664335,0.3132530120481928,0.3170731707317073,0.30952380952380953,0.008675098419189453
XGBoost,Clear_Optimized,,5,0.9440559440559441,0.35135135135135137,0.40625,0.30952380952380953,0.0013530254364013672
XGBoost,Clear_Optimized,,6,0.9428904428904429,0.30985915492957744,0.3793103448275862,0.2619047619047619,0.0013229846954345703
XGBoost,Clear_Optimized,,7,0.9487179487179487,0.37142857142857144,0.4642857142857143,0.30952380952380953,0.003522157669067383
XGBoost,Clear_Optimized,,8,0.9498834498834499,0.3582089552238806,0.48,0.2857142857142857,0.0017268657684326172
XGBoost,Clear_Optimized,,9,0.9428904428904429,0.30985915492957744,0.3793103448275862,0.2619047619047619,0.005287885665893555
XGBoost,Clear_Optimized,,10,0.9452214452214452,0.3380281690140845,0.41379310344827586,0.2857142857142857,0.018864154815673828
Logistic Regression,Clear_Optimized,,,0.7680652680652681,0.2134387351778656,0.12796208530805686,0.6428571428571429,0.09531116485595703
SVM (Linear),Clear_Optimized,,,0.7785547785547785,0.21487603305785125,0.13,0.6190476190476191,0.08586597442626953
Decision Tree,Clear_Optimized,,4,0.7027972027972028,0.205607476635514,0.11827956989247312,0.7857142857142857,0.00022411346435546875
